electrode_name,shank,electrode,electrode_number,chip_first,cable_first
S01E01,1,1,1,191,63
S01E02,1,2,2,190,62
S01E03,1,3,3,189,61
S01E04,1,4,4,188,60
S01E05,1,5,5,187,59
S01E06,1,6,6,186,58
S01E07,1,7,7,185,57
S01E08,1,8,8,184,56
S01E09,1,9,9,183,55
S01E10,1,10,10,182,54
S01E11,1,11,11,181,53
S01E12,1,12,12,180,52
S02E01,2,1,13,179,51
S02E02,2,2,14,178,50
S02E03,2,3,15,177,49
S02E04,2,4,16,176,48
S02E05,2,5,17,175,47
S02E06,2,6,18,174,46
S02E07,2,7,19,173,45
S02E08,2,8,20,172,44
S02E09,2,9,21,171,43
S02E10,2,10,22,170,42
S02E11,2,11,23,169,41
S02E12,2,12,24,129,1
S03E01,3,1,25,130,2
S03E02,3,2,26,131,3
S03E03,3,3,27,132,4
S03E04,3,4,28,133,5
S03E05,3,5,29,134,6
S03E06,3,6,30,135,7
S03E07,3,7,31,136,8
S03E08,3,8,32,137,9
S03E09,3,9,33,138,10
S03E10,3,10,34,139,11
S03E11,3,11,35,140,12
S03E12,3,12,36,141,13
S04E01,4,1,37,142,14
S04E02,4,2,38,143,15
S04E03,4,3,39,144,16
S04E04,4,4,40,145,17
S04E05,4,5,41,146,18
S04E06,4,6,42,147,19
S04E07,4,7,43,148,20
S04E08,4,8,44,149,21
S04E09,4,9,45,150,22
S04E10,4,10,46,151,23
S04E11,4,11,47,152,24
S04E12,4,12,48,153,25
S05E01,5,1,49,154,26
S05E02,5,2,50,155,27
S05E03,5,3,51,156,28
S05E04,5,4,52,157,29
S05E05,5,5,53,158,30
S05E06,5,6,54,159,31
S05E07,5,7,55,160,32
S05E08,5,8,56,161,33
S05E09,5,9,57,162,34
S05E10,5,10,58,163,35
S05E11,5,11,59,164,36
S05E12,5,12,60,165,37
S06E01,6,1,61,166,38
S06E02,6,2,62,167,39
S06E03,6,3,63,168,40
S06E04,6,4,64,193,65
S06E05,6,5,65,194,66
S06E06,6,6,66,195,67
S06E07,6,7,67,196,68
S06E08,6,8,68,197,69
S06E09,6,9,69,198,70
S06E10,6,10,70,199,71
S06E11,6,11,71,200,72
S06E12,6,12,72,201,73
S07E01,7,1,73,202,74
S07E02,7,2,74,203,75
S07E03,7,3,75,204,76
S07E04,7,4,76,205,77
S07E05,7,5,77,206,78
S07E06,7,6,78,207,79
S07E07,7,7,79,208,80
S07E08,7,8,80,209,81
S07E09,7,9,81,210,82
S07E10,7,10,82,211,83
S07E11,7,11,83,212,84
S07E12,7,12,84,213,85
S08E01,8,1,85,214,86
S08E02,8,2,86,215,87
S08E03,8,3,87,216,88
S08E04,8,4,88,217,89
S08E05,8,5,89,218,90
S08E06,8,6,90,219,91
S08E07,8,7,91,220,92
S08E08,8,8,92,221,93
S08E09,8,9,93,222,94
S08E10,8,10,94,223,95
S08E11,8,11,95,224,96
S08E12,8,12,96,225,97
S09E01,9,1,97,226,98
S09E02,9,2,98,227,99
S09E03,9,3,99,228,100
S09E04,9,4,100,229,101
S09E05,9,5,101,230,102
S09E06,9,6,102,231,103
S09E07,9,7,103,232,104
S09E08,9,8,104,233,105
S09E09,9,9,105,234,106
S09E10,9,10,106,235,107
S09E11,9,11,107,236,108
S09E12,9,12,108,237,109
S10E01,10,1,109,238,110
S10E02,10,2,110,239,111
S10E03,10,3,111,240,112
S10E04,10,4,112,241,113
S10E05,10,5,113,242,114
S10E06,10,6,114,243,115
S10E07,10,7,115,244,116
S10E08,10,8,116,245,117
S10E09,10,9,117,246,118
S10E10,10,10,118,247,119
S10E11,10,11,119,248,120
S10E12,10,12,120,249,121
S11E01,11,1,121,250,122
S11E02,11,2,122,251,123
S11E03,11,3,123,252,124
S11E04,11,4,124,253,125
S11E05,11,5,125,254,126
S11E06,11,6,126,255,127
S11E07,11,7,127,64,192
S11E08,11,8,128,65,193
S11E09,11,9,129,66,194
S11E10,11,10,130,67,195
S11E11,11,11,131,68,196
S11E12,11,12,132,69,197
S12E01,12,1,133,70,198
S12E02,12,2,134,71,199
S12E03,12,3,135,72,200
S12E04,12,4,136,73,201
S12E05,12,5,137,74,202
S12E06,12,6,138,75,203
S12E07,12,7,139,76,204
S12E08,12,8,140,77,205
S12E09,12,9,141,78,206
S12E10,12,10,142,79,207
S12E11,12,11,143,80,208
S12E12,12,12,144,81,209
S13E01,13,1,145,82,210
S13E02,13,2,146,83,211
S13E03,13,3,147,84,212
S13E04,13,4,148,85,213
