electrode,shank,shank_column,shank_row,x_um,y_um
0,0,0,0,8,0
1,0,1,0,40,0
2,0,0,1,8,15
3,0,1,1,40,15
4,0,0,2,8,30
5,0,1,2,40,30
6,0,0,3,8,45
7,0,1,3,40,45
8,0,0,4,8,60
9,0,1,4,40,60
10,0,0,5,8,75
11,0,1,5,40,75
12,0,0,6,8,90
13,0,1,6,40,90
14,0,0,7,8,105
15,0,1,7,40,105
16,0,0,8,8,120
17,0,1,8,40,120
18,0,0,9,8,135
19,0,1,9,40,135
20,0,0,10,8,150
21,0,1,10,40,150
22,0,0,11,8,165
23,0,1,11,40,165
24,0,0,12,8,180
25,0,1,12,40,180
26,0,0,13,8,195
27,0,1,13,40,195
28,0,0,14,8,210
29,0,1,14,40,210
30,0,0,15,8,225
31,0,1,15,40,225
32,0,0,16,8,240
33,0,1,16,40,240
34,0,0,17,8,255
35,0,1,17,40,255
36,0,0,18,8,270
37,0,1,18,40,270
38,0,0,19,8,285
39,0,1,19,40,285
40,0,0,20,8,300
41,0,1,20,40,300
42,0,0,21,8,315
43,0,1,21,40,315
44,0,0,22,8,330
45,0,1,22,40,330
46,0,0,23,8,345
47,0,1,23,40,345
48,0,0,24,8,360
49,0,1,24,40,360
50,0,0,25,8,375
51,0,1,25,40,375
52,0,0,26,8,390
53,0,1,26,40,390
54,0,0,27,8,405
55,0,1,27,40,405
56,0,0,28,8,420
57,0,1,28,40,420
58,0,0,29,8,435
59,0,1,29,40,435
60,0,0,30,8,450
61,0,1,30,40,450
62,0,0,31,8,465
63,0,1,31,40,465
64,0,0,32,8,480
65,0,1,32,40,480
66,0,0,33,8,495
67,0,1,33,40,495
68,0,0,34,8,510
69,0,1,34,40,510
70,0,0,35,8,525
71,0,1,35,40,525
72,0,0,36,8,540
73,0,1,36,40,540
74,0,0,37,8,555
75,0,1,37,40,555
76,0,0,38,8,570
77,0,1,38,40,570
78,0,0,39,8,585
79,0,1,39,40,585
80,0,0,40,8,600
81,0,1,40,40,600
82,0,0,41,8,615
83,0,1,41,40,615
84,0,0,42,8,630
85,0,1,42,40,630
86,0,0,43,8,645
87,0,1,43,40,645
88,0,0,44,8,660
89,0,1,44,40,660
90,0,0,45,8,675
91,0,1,45,40,675
92,0,0,46,8,690
93,0,1,46,40,690
94,0,0,47,8,705
95,0,1,47,40,705
96,0,0,48,8,720
97,0,1,48,40,720
98,0,0,49,8,735
99,0,1,49,40,735
100,0,0,50,8,750
101,0,1,50,40,750
102,0,0,51,8,765
103,0,1,51,40,765
104,0,0,52,8,780
105,0,1,52,40,780
106,0,0,53,8,795
107,0,1,53,40,795
108,0,0,54,8,810
109,0,1,54,40,810
110,0,0,55,8,825
111,0,1,55,40,825
112,0,0,56,8,840
113,0,1,56,40,840
114,0,0,57,8,855
115,0,1,57,40,855
116,0,0,58,8,870
117,0,1,58,40,870
118,0,0,59,8,885
119,0,1,59,40,885
120,0,0,60,8,900
121,0,1,60,40,900
122,0,0,61,8,915
123,0,1,61,40,915
124,0,0,62,8,930
125,0,1,62,40,930
126,0,0,63,8,945
127,0,1,63,40,945
128,0,0,64,8,960
129,0,1,64,40,960
130,0,0,65,8,975
131,0,1,65,40,975
132,0,0,66,8,990
133,0,1,66,40,990
134,0,0,67,8,1005
135,0,1,67,40,1005
136,0,0,68,8,1020
137,0,1,68,40,1020
138,0,0,69,8,1035
139,0,1,69,40,1035
140,0,0,70,8,1050
141,0,1,70,40,1050
142,0,0,71,8,1065
143,0,1,71,40,1065
144,0,0,72,8,1080
145,0,1,72,40,1080
146,0,0,73,8,1095
147,0,1,73,40,1095
148,0,0,74,8,1110
149,0,1,74,40,1110
150,0,0,75,8,1125
151,0,1,75,40,1125
152,0,0,76,8,1140
153,0,1,76,40,1140
154,0,0,77,8,1155
155,0,1,77,40,1155
156,0,0,78,8,1170
157,0,1,78,40,1170
158,0,0,79,8,1185
159,0,1,79,40,1185
160,0,0,80,8,1200
161,0,1,80,40,1200
162,0,0,81,8,1215
163,0,1,81,40,1215
164,0,0,82,8,1230
165,0,1,82,40,1230
166,0,0,83,8,1245
167,0,1,83,40,1245
168,0,0,84,8,1260
169,0,1,84,40,1260
170,0,0,85,8,1275
171,0,1,85,40,1275
172,0,0,86,8,1290
173,0,1,86,40,1290
174,0,0,87,8,1305
175,0,1,87,40,1305
176,0,0,88,8,1320
177,0,1,88,40,1320
178,0,0,89,8,1335
