hex,x,y
2,663,146
49,668,224
47,599,267
38,735,266
42,597,345
32,737,343
46,530,384
37,666,384
27,805,385
41,529,462
31,665,465
22,806,465
45,465,504
36,595,504
26,735,506
18,876,507
40,466,582
30,597,582
21,734,585
14,873,586
44,404,617
35,531,619
25,664,623
17,802,625
11,942,627
39,408,691
29,535,696
20,666,700
13,801,703
8,938,706
43,349,725
34,472,732
24,598,736
16,732,740
10,869,744
6,1005,741
48,354,794
28,474,804
19,600,811
12,733,816
7,868,816
4,1001,815
3,293,828
33,414,836
23,537,842
15,668,849
9,798,853
5,931,854
1,1064,854
