hex,x,y
2,666,144
49,668,224
47,602,264
38,737,263
42,599,344
32,738,342
46,531,382
37,666,383
27,807,385
41,531,462
31,666,460
22,807,464
45,467,502
36,598,503
26,735,504
18,877,508
40,467,578
30,599,580
21,736,584
14,875,586
44,405,616
35,533,618
25,666,623
17,806,625
11,943,627
39,409,690
29,536,696
20,667,699
13,802,704
8,940,706
43,350,725
34,472,730
24,600,737
16,732,741
10,870,742
6,1004,743
48,354,795
28,475,802
19,602,811
12,733,817
7,866,817
4,1000,817
3,293,828
33,416,835
23,538,841
15,667,850
9,799,852
5,932,852
1,1064,855
