hex,x,y
2,663,139
49,663,217
47,595,261
38,735,260
42,593,341
32,736,341
46,522,382
37,662,382
27,805,384
41,521,464
31,663,463
22,803,466
45,456,503
36,590,504
26,733,506
18,877,511
40,457,584
30,591,585
21,733,589
14,874,591
44,393,621
35,524,624
25,660,628
17,802,631
11,944,633
39,397,697
29,527,704
20,661,707
13,801,711
8,941,714
43,337,732
34,463,738
24,593,746
16,730,750
10,869,751
6,1009,752
48,341,803
28,465,812
19,594,823
12,729,827
7,868,828
4,1003,828
3,285,834
33,405,843
23,528,853
15,663,861
9,798,865
5,933,864
1,1066,866
