hex,x,y
2,661,135
49,662,218
47,595,261
38,735,262
42,592,341
32,735,341
46,523,383
37,663,381
27,806,384
41,522,465
31,662,463
22,803,467
45,456,504
36,591,505
26,733,507
18,877,510
40,458,585
30,593,585
21,734,589
14,875,590
44,394,621
35,524,624
25,659,628
17,804,631
11,945,635
39,397,697
29,525,703
20,662,708
13,800,712
8,941,714
43,339,733
34,464,739
24,594,744
16,729,749
10,869,751
6,1004,751
48,342,804
28,464,813
19,596,821
12,729,827
7,868,828
4,1005,828
3,283,835
33,406,843
23,529,852
15,663,860
9,798,864
5,934,863
1,1065,865
