hex,x,y
2,666,149
49,666,233
47,598,277
38,737,276
42,595,357
32,738,356
46,527,398
37,666,396
27,809,398
41,526,479
31,663,478
22,806,482
45,461,520
36,593,520
26,735,523
18,878,525
40,462,599
30,594,601
21,733,603
14,877,606
44,398,635
35,527,640
25,663,642
17,803,645
11,947,648
39,403,711
29,530,718
20,664,722
13,803,726
8,944,729
43,342,747
34,467,753
24,597,760
16,732,763
10,872,766
6,1012,766
48,346,817
28,469,826
19,598,837
12,732,841
7,870,842
4,1005,844
3,290,848
33,410,858
23,532,867
15,665,874
9,801,878
5,936,878
1,1068,879
