hex,x,y
3,716,90
48,714,163
33,644,200
43,785,204
28,644,278
39,782,279
23,575,317
34,711,317
44,849,322
19,570,392
29,707,395
40,848,399
15,501,426
24,637,432
35,775,434
45,912,442
12,503,508
20,635,509
30,772,515
41,909,518
9,440,545
16,569,548
25,701,551
36,838,557
46,972,562
7,442,621
13,569,623
21,702,628
31,838,633
42,969,637
5,381,653
10,505,658
17,635,662
26,768,667
37,901,671
47,1027,676
4,381,727
8,503,731
14,633,735
22,767,742
32,897,742
49,1027,748
1,321,760
6,442,764
11,564,769
18,699,778
27,832,779
38,958,781
2,1086,783
