hex,x,y
2,668,146
49,668,226
47,602,267
38,738,265
42,600,345
32,739,342
46,531,383
37,667,383
27,807,385
41,531,462
31,667,462
22,807,464
45,467,502
36,598,502
26,736,504
18,877,509
40,467,580
30,599,580
21,736,585
14,874,587
44,404,616
35,532,619
25,665,623
17,804,626
11,943,628
39,408,689
29,535,696
20,666,700
13,801,702
8,939,706
43,350,724
34,472,731
24,600,737
16,732,740
10,869,741
6,1005,742
48,356,796
28,474,803
19,601,811
12,732,816
7,866,816
4,999,818
3,295,827
33,416,834
23,538,843
15,666,849
9,800,852
5,931,852
1,1067,857
